Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,score,ranking
Carnegie Mellon University,0.20943562610229277,0.4096119929453263,0.09215167548500881,0.19356261022927693,18.363976711300424,1
Univ. of Illinois at Urbana-Champaign,0.18606701940035272,0.5493827160493826,0.06878306878306878,0.10052910052910054,14.230258172597203,2
Univ. of California - San Diego,0.1424162257495591,0.47310405643738973,0.11684303350970017,0.17239858906525574,11.91302109026623,3
Massachusetts Institute of Technology,0.16843033509700178,0.46119929453262776,0.12522045855379188,0.1499118165784833,11.238906993525996,4
Georgia Institute of Technology,0.20590828924162263,0.3919753086419753,0.06393298059964726,0.24294532627865956,10.486860341154498,5
Stanford University,0.2345679012345679,0.2927689594356261,0.07142857142857142,0.30599647266313934,10.354670650812578,6
University of Michigan,0.253968253968254,0.4576719576719577,0.08906525573192241,0.10405643738977072,10.143639106508695,7
University of Washington,0.21119929453262787,0.3364197530864197,0.06481481481481481,0.2923280423280423,10.003248958984923,8
Univ. of California - Berkeley,0.24162257495590833,0.4021164021164021,0.10229276895943562,0.15873015873015872,9.587283865777907,9
Cornell University,0.3024691358024691,0.3315696649029983,0.06790123456790123,0.20282186948853617,9.449585674303265,10
University of Maryland - College Park,0.25749559082892415,0.2716049382716049,0.01763668430335097,0.35802469135802467,8.457982406676468,11
Northeastern University,0.19841269841269843,0.2821869488536155,0.1922398589065256,0.23192239858906522,7.690357576542298,12
University of Wisconsin - Madison,0.18121693121693122,0.2958553791887126,0.21472663139329806,0.21296296296296297,7.281073084318602,13
Columbia University,0.2217813051146385,0.23500881834215168,0.2182539682539683,0.22971781305114639,7.063271756593267,14
Purdue University,0.17989417989417988,0.291005291005291,0.22398589065255736,0.2098765432098766,6.9682233225429275,16
University of Texas at Austin,0.21604938271604937,0.27248677248677244,0.2627865961199295,0.1534391534391535,6.999481550020473,15
University of Pennsylvania,0.2222222222222222,0.2345679012345679,0.21516754850088188,0.2328042328042328,6.830662384582897,17
Princeton University,0.21252204585537915,0.2239858906525573,0.22663139329805998,0.24162257495590828,6.158300333520861,18
University of Massachusetts Amherst,0.010582010582010581,-0.029982363315696647,-0.0564373897707231,-0.019400352733686066,5.860109676015573,19
New York University,-0.007936507936507936,-0.08024691358024691,0.007054673721340388,-0.014109347442680775,5.694309819651748,20
University of Southern California,0.0,-0.036155202821869487,-0.027336860670194002,-0.031746031746031744,5.502516259374729,21
Univ. of California - Los Angeles,0.012786596119929453,-0.03659611992945326,0.009259259259259259,-0.08068783068783068,5.281520696931926,22
Stony Brook University,-0.014109347442680775,-0.054673721340388004,-0.007054673721340388,-0.019400352733686066,5.2077969988630155,24
University of Chicago,-0.053791887125220456,0.008818342151675485,-0.014991181657848324,-0.03527336860670194,5.230828579891246,23
Univ. of California - Irvine,-0.026455026455026454,-0.020282186948853614,-0.02204585537918871,-0.026455026455026454,5.075090003819959,26
Univ. of California - Santa Barbara,-0.010582010582010581,-0.026455026455026454,-0.007936507936507936,-0.05026455026455026,5.133032927539378,25
Rutgers University,0.001763668430335097,-0.07054673721340388,-0.014109347442680775,-0.012345679012345678,4.649042744058031,27
Duke University,-0.009259259259259259,-0.03835978835978836,-0.013668430335097001,-0.033950617283950615,4.5313426762465046,28
Univ. of California - Riverside,-0.033950617283950615,0.011022927689594356,-0.024250440917107582,-0.04805996472663139,4.466880583540102,29
Northwestern University,-0.028659611992945325,-0.03835978835978836,-0.017195767195767195,-0.011022927689594356,4.321025005360179,31
Pennsylvania State University,-0.010141093474426807,-0.012786596119929453,-0.02513227513227513,-0.04717813051146384,4.344445781741423,30
University of Utah,-0.024250440917107582,-0.0427689594356261,-0.018077601410934743,-0.010141093474426807,4.012870770846154,32
George Mason University,-0.018077601410934743,-0.046296296296296294,-0.023368606701940034,-0.007495590828924162,3.914689092837484,36
Harvard University,-0.014991181657848324,-0.05291005291005291,-0.01146384479717813,-0.015873015873015872,3.989976598956192,33
Ohio State University,-0.015873015873015872,-0.021164021164021163,-0.02204585537918871,-0.036155202821869487,3.9073842899452207,37
Texas A&M University,-0.014109347442680775,-0.047619047619047616,-0.024691358024691357,-0.008818342151675485,3.940530149224605,34
Univ. of California - Santa Cruz,-0.01455026455026455,-0.04894179894179894,-0.011022927689594356,-0.02072310405643739,3.895421446261735,38
Yale University,-0.02821869488536155,-0.04585537918871252,-0.001763668430335097,-0.019400352733686066,3.9259862507387617,35
Boston University,-0.013227513227513227,-0.037037037037037035,-0.007054673721340388,-0.03791887125220458,3.6696747679872272,41
Brown University,-0.015432098765432098,-0.06746031746031746,-0.009259259259259259,-0.0030864197530864196,3.758405318721527,39
North Carolina State University,-0.04188712522045855,-0.01455026455026455,-0.01984126984126984,-0.01895943562610229,3.7577312571170824,40
University at Buffalo,-0.01146384479717813,-0.03350970017636684,-0.015873015873015872,-0.03439153439153439,3.6030012024770275,42
Rice University,-0.01763668430335097,-0.03880070546737213,-0.01146384479717813,-0.027336860670194002,3.5263459635305914,43
University of Colorado Boulder,-0.02072310405643739,-0.04717813051146384,-0.01895943562610229,-0.00837742504409171,3.3996693622480816,47
University of Illinois at Chicago,-0.005291005291005291,-0.0564373897707231,-0.01146384479717813,-0.02204585537918871,3.4178229965539333,45
University of North Carolina,-0.007054673721340388,-0.0564373897707231,-0.021164021164021163,-0.010582010582010581,3.4321321797860787,44
University of Virginia,-0.018077601410934743,-0.03130511463844797,-0.016313932980599646,-0.029541446208112873,3.401779564308793,46
Arizona State University,-0.009259259259259259,-0.041005291005291,-0.02072310405643739,-0.024250440917107582,3.2915953485210765,50
University of Minnesota,-0.01895943562610229,-0.041005291005291,-0.024250440917107582,-0.011022927689594356,3.3732731723916074,49
Virginia Tech,-0.023368606701940034,-0.033950617283950615,-0.02072310405643739,-0.017195767195767195,3.376915199846583,48
Univ. of California - Davis,-0.022486772486772486,-0.034832451499118164,-0.016313932980599646,-0.021604938271604937,3.040040129497628,51
Johns Hopkins University,-0.004409171075837742,-0.059964726631393295,-0.003527336860670194,-0.027336860670194002,2.8330452786146854,53
Oregon State University,-0.01455026455026455,-0.05335097001763668,-0.00837742504409171,-0.01895943562610229,2.867606748593624,52
Indiana University,-0.029541446208112873,-0.03306878306878307,-0.018077601410934743,-0.01455026455026455,2.705584297847953,54
University of Central Florida,-0.013668430335097001,-0.04365079365079365,-0.02072310405643739,-0.017195767195767195,2.5480985515496615,55
University of Rochester,-0.010141093474426807,-0.045414462081128745,-0.016313932980599646,-0.023368606701940034,2.497349217078846,56
Michigan State University,-0.007936507936507936,-0.047619047619047616,-0.018518518518518517,-0.021164021164021163,2.381548484731756,60
Rochester Institute of Technology,-0.015873015873015872,-0.04497354497354497,-0.018518518518518517,-0.015873015873015872,2.421545581642908,58
University of Pittsburgh,-0.014109347442680775,-0.037037037037037035,-0.018518518518518517,-0.025573192239858905,2.410386484244007,59
University of Texas at Dallas,-0.005731922398589065,-0.0445326278659612,-0.015432098765432098,-0.029541446208112873,2.4441744628074282,57
Washington University in St. Louis,-0.015873015873015872,-0.043209876543209874,-0.015873015873015872,-0.020282186948853614,2.327011567040041,61
University of Notre Dame,-0.014991181657848324,-0.04056437389770723,-0.018518518518518517,-0.021164021164021163,2.1699895481409968,62
Univ. of California - Merced,-0.01984126984126984,-0.040123456790123455,-0.01455026455026455,-0.02072310405643739,2.1579752590107493,65
University of Delaware,-0.023809523809523808,-0.04056437389770723,-0.01675485008818342,-0.014109347442680775,2.1590742207300693,64
University of Florida,-0.023809523809523808,-0.04056437389770723,-0.015873015873015872,-0.014991181657848324,2.159106052919643,63
University of Texas at Arlington,-0.016313932980599646,-0.03835978835978836,-0.018077601410934743,-0.022486772486772486,2.1382376590881536,66
University of Connecticut,-0.02292768959435626,-0.04056437389770723,-0.013227513227513227,-0.018518518518518517,2.0565209354494214,67
Binghamton University,-0.02072310405643739,-0.03218694885361552,-0.017195767195767195,-0.02513227513227513,1.9523560065903645,68
Clemson University,-0.03042328042328042,-0.040123456790123455,-0.016313932980599646,-0.00837742504409171,1.8433042563276891,72
TTI Chicago,-0.013227513227513227,-0.047619047619047616,-0.010582010582010581,-0.023809523809523808,1.863141336964192,71
Vanderbilt University,-0.02292768959435626,-0.04056437389770723,-0.01675485008818342,-0.014991181657848324,1.921534192787995,69
Worcester Polytechnic Institute,-0.02072310405643739,-0.041005291005291,-0.017195767195767195,-0.016313932980599646,1.9055901302504878,70
California Institute of Technology,-0.023809523809523808,-0.042328042328042326,-0.007054673721340388,-0.02204585537918871,1.8177649487603749,73
College of William and Mary,-0.02821869488536155,-0.03262786596119929,-0.015873015873015872,-0.018518518518518517,1.8078287375814592,75
Dartmouth College,-0.024691358024691357,-0.043209876543209874,-0.014109347442680775,-0.013227513227513227,1.7990692481581496,76
Florida State University,-0.03130511463844797,-0.034832451499118164,-0.011022927689594356,-0.018077601410934743,1.7577014468333516,79
Iowa State University,-0.020282186948853614,-0.037037037037037035,-0.014991181657848324,-0.02292768959435626,1.7949806317757027,77
Stevens Institute of Technology,-0.01984126984126984,-0.03747795414462081,-0.01455026455026455,-0.023368606701940034,1.8089371562501577,74
CUNY,-0.021604938271604937,-0.03835978835978836,-0.011904761904761904,-0.023368606701940034,1.733665022626487,82
Emory University,-0.013227513227513227,-0.04056437389770723,-0.01675485008818342,-0.024691358024691357,1.7222400192318315,83
Georgetown University,-0.020282186948853614,-0.03880070546737213,-0.006172839506172839,-0.029982363315696647,1.6535926460690922,87
NJIT,-0.021164021164021163,-0.03527336860670194,-0.015873015873015872,-0.02292768959435626,1.7420622068498541,80
Tufts University,-0.02292768959435626,-0.03880070546737213,-0.015873015873015872,-0.01763668430335097,1.7355967918010082,81
University of Arizona,-0.01763668430335097,-0.03880070546737213,-0.015873015873015872,-0.02292768959435626,1.763526111554581,78
University of Oregon,-0.013668430335097001,-0.039241622574955906,-0.015432098765432098,-0.026895943562610228,1.707919217490167,84
Colorado School of Mines,-0.023368606701940034,-0.03659611992945326,-0.016313932980599646,-0.01895943562610229,1.5947541846901065,92
Illinois Institute of Technology,-0.020282186948853614,-0.03439153439153439,-0.014991181657848324,-0.025573192239858905,1.6568531175929837,86
Syracuse University,-0.01984126984126984,-0.03571428571428571,-0.01455026455026455,-0.02513227513227513,1.6390223224824623,90
Temple University,-0.01763668430335097,-0.03880070546737213,-0.015873015873015872,-0.02292768959435626,1.6398367392374362,89
Tulane University,-0.020282186948853614,-0.037037037037037035,-0.014991181657848324,-0.02292768959435626,1.6650055043378322,85
University of Georgia,-0.01984126984126984,-0.03571428571428571,-0.01455026455026455,-0.02513227513227513,1.578210527392073,94
University of Houston,-0.021164021164021163,-0.03791887125220458,-0.015873015873015872,-0.020282186948853614,1.60385887546987,91
University of Nebraska,-0.028659611992945325,-0.03659611992945326,-0.01455026455026455,-0.015432098765432098,1.5806084909542248,93
University of Tennessee,-0.026455026455026454,-0.03439153439153439,-0.014109347442680775,-0.020282186948853614,1.5474017891866632,97
Washington State University,-0.020282186948853614,-0.03439153439153439,-0.014991181657848324,-0.025573192239858905,1.6465300183771894,88
Brigham Young University,-0.021604938271604937,-0.03747795414462081,-0.016313932980599646,-0.01984126984126984,1.4702902106450322,103
George Washington University,-0.02821869488536155,-0.03262786596119929,-0.014109347442680775,-0.020282186948853614,1.5617078540815736,96
Lehigh University,-0.02204585537918871,-0.03791887125220458,-0.01675485008818342,-0.018518518518518517,1.5358300111436922,100
UNC - Charlotte,-0.02513227513227513,-0.03659611992945326,-0.016313932980599646,-0.017195767195767195,1.5667662876574873,95
University of Massachusetts Lowell,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.539820538534573,98
University of South Carolina,-0.021604938271604937,-0.03747795414462081,-0.016313932980599646,-0.01984126984126984,1.537881036875435,99
Wayne State University,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.5137239515917829,101
Augusta University,-0.02821869488536155,-0.03439153439153439,-0.012345679012345678,-0.020282186948853614,1.4093408978034712,112
Brandeis University,-0.018077601410934743,-0.03659611992945326,-0.01455026455026455,-0.02601410934744268,1.4373399180898605,106
Case Western Reserve University,-0.023809523809523808,-0.03527336860670194,-0.014991181657848324,-0.021164021164021163,1.3909010510405062,113
Drexel University,-0.021164021164021163,-0.037037037037037035,-0.014109347442680775,-0.02292768959435626,1.4331266996289886,107
Florida International University,-0.026455026455026454,-0.03439153439153439,-0.014109347442680775,-0.020282186948853614,1.4246896564997282,111
Portland State University,-0.026895943562610228,-0.034832451499118164,-0.012786596119929453,-0.02072310405643739,1.4308458376369755,109
Rensselaer Polytechnic Institute,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.4748033284659472,102
Univ. of Maryland - Baltimore County,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.4314716560015321,108
University of Iowa,-0.026895943562610228,-0.034832451499118164,-0.012786596119929453,-0.02072310405643739,1.4621674172146577,104
University of Louisiana - Lafayette,-0.026455026455026454,-0.03439153439153439,-0.014109347442680775,-0.020282186948853614,1.3538541448537331,116
University of New Hampshire,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.4273432225410672,110
University of North Texas,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.4562327194450362,105
Auburn University,-0.020282186948853614,-0.03527336860670194,-0.014991181657848324,-0.024691358024691357,1.2807790038690585,130
Boston College,-0.02204585537918871,-0.03791887125220458,-0.013227513227513227,-0.02204585537918871,1.3520179441373301,117
Colorado State University,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.2973006374952003,126
DePaul University,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.334283034187276,123
Kent State University,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.346510366896401,121
Michigan Technological University,-0.02821869488536155,-0.03439153439153439,-0.012345679012345678,-0.020282186948853614,1.3482379076559294,119
University of Arkansas,-0.02513227513227513,-0.03306878306878307,-0.012786596119929453,-0.024250440917107582,1.2894189495284178,128
University of Kansas,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.3573057244751638,114
University of Kentucky,-0.020282186948853614,-0.03527336860670194,-0.014991181657848324,-0.024691358024691357,1.3004571380230763,125
University of Memphis,-0.027336860670194002,-0.03527336860670194,-0.014991181657848324,-0.01763668430335097,1.3318528692812206,124
University of Nevada,-0.028659611992945325,-0.034832451499118164,-0.01455026455026455,-0.017195767195767195,1.3436327742527463,122
University of South Florida,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.346510366896401,120
University of Texas at San Antonio,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.3502139554944796,118
Virginia Commonwealth University,-0.02821869488536155,-0.03439153439153439,-0.012345679012345678,-0.020282186948853614,1.3559440543943728,115
Boise State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.1943652493569745,143
Cleveland State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.175014731248254,153
Georgia State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2076269135625914,138
IUPUI,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.2566596736184907,132
Kansas State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2879146665691052,129
Louisiana State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2246300494125768,136
New Mexico State University,-0.025573192239858905,-0.03350970017636684,-0.013227513227513227,-0.02292768959435626,1.2008942114429437,141
Northern Arizona University,-0.027336860670194002,-0.03262786596119929,-0.013227513227513227,-0.02204585537918871,1.2137956445032099,137
Old Dominion University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.1810550114733949,149
Texas State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2932062800208222,127
Texas Tech University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.260278996113331,131
UCCS,-0.025573192239858905,-0.03350970017636684,-0.013227513227513227,-0.02292768959435626,1.2457634958549053,133
University of Alabama - Birmingham,-0.026455026455026454,-0.03262786596119929,-0.012345679012345678,-0.023809523809523808,1.178730127603193,151
University of Hawaii at Manoa,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.193736599490286,144
University of Massachusetts Boston,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2063854272476342,140
University of Nebraska - Omaha,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.2284699280082674,135
University of New Mexico,-0.0291005291005291,-0.03350970017636684,-0.013227513227513227,-0.019400352733686066,1.232107508089861,134
University of Vermont,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2063854272476342,139
West Virginia University,-0.019400352733686066,-0.036155202821869487,-0.014109347442680775,-0.025573192239858905,1.18537691942094,147
Florida Atlantic University,-0.026895943562610228,-0.03306878306878307,-0.011022927689594356,-0.024250440917107582,1.160041996250309,154
Mississippi State University,-0.026455026455026454,-0.03262786596119929,-0.012345679012345678,-0.023809523809523808,1.1163039474037424,160
Naval Postgraduate School,-0.028659611992945325,-0.03218694885361552,-0.012786596119929453,-0.021604938271604937,1.1885073136066437,145
OHSU,-0.02601410934744268,-0.033950617283950615,-0.011904761904761904,-0.023368606701940034,1.0590993544149505,174
Ohio University,-0.027336860670194002,-0.03262786596119929,-0.013227513227513227,-0.02204585537918871,1.1367732583553787,158
Oklahoma State University,-0.026455026455026454,-0.03262786596119929,-0.012345679012345678,-0.023809523809523808,1.103932852243473,166
Saint Louis University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.1992509744234425,142
The University of Alabama,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.1881248259400083,146
Towson University,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1381117084194718,156
UNC - Greensboro,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1081143192859537,163
University at Albany - SUNY,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1081143192859537,164
University of Cincinnati,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.1233476788199555,159
University of Colorado - Denver,-0.028659611992945325,-0.03218694885361552,-0.012786596119929453,-0.021604938271604937,1.1151503459520218,161
University of Denver,-0.0291005291005291,-0.03439153439153439,-0.013227513227513227,-0.018518518518518517,1.0762654843774564,170
University of Michigan-Dearborn,-0.026455026455026454,-0.03262786596119929,-0.012345679012345678,-0.023809523809523808,1.178730127603193,150
University of Missouri,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.176758517272183,152
University of Nevada Las Vegas,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.0886831857068724,169
University of New Orleans,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.0540124897162193,176
University of Oklahoma,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1374785060871946,157
University of Southern Mississippi,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1081143192859537,162
University of Texas - El Paso,-0.02601410934744268,-0.033950617283950615,-0.011904761904761904,-0.023368606701940034,1.1051377453246232,165
University of Wisconsin - Milwaukee,-0.027777777777777776,-0.033950617283950615,-0.010141093474426807,-0.023368606701940034,1.0621691468861296,173
University of Wyoming,-0.0291005291005291,-0.03439153439153439,-0.013227513227513227,-0.018518518518518517,1.0762654843774564,171
Utah State University,-0.027336860670194002,-0.03262786596119929,-0.013227513227513227,-0.02204585537918871,1.155494003667182,155
Western Michigan University,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.0540124897162193,177
Wichita State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.1810550114733949,148
Air Force Institute of Technology,-0.02821869488536155,-0.03350970017636684,-0.012345679012345678,-0.021164021164021163,1.040863594536418,180
Florida Institute of Technology,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,186
Indiana State University,-0.027336860670194002,-0.03350970017636684,-0.01146384479717813,-0.02292768959435626,1.043984790757085,179
Missouri S&T,-0.02601410934744268,-0.033950617283950615,-0.011904761904761904,-0.023368606701940034,1.0473622115623071,178
Missouri University of Technology,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,188
Montana State University,-0.02821869488536155,-0.03350970017636684,-0.012345679012345678,-0.021164021164021163,1.0740054758276585,172
New Mexico Tech,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,187
Nova Southeastern University,-0.026455026455026454,-0.03350970017636684,-0.012345679012345678,-0.02292768959435626,1.0361777744692515,182
Oakland University,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.0540124897162193,175
SIU Carbondale,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,185
Southern Methodist University,-0.028659611992945325,-0.03218694885361552,-0.012786596119929453,-0.021604938271604937,1.0970832287323031,167
University of Alabama - Huntsville,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,189
University of Louisville,-0.02821869488536155,-0.03350970017636684,-0.012345679012345678,-0.021164021164021163,1.040863594536418,181
University of Miami,-0.028659611992945325,-0.03218694885361552,-0.012786596119929453,-0.021604938271604937,1.0970832287323031,168
University of Missouri - Kansas City,-0.026455026455026454,-0.03350970017636684,-0.012345679012345678,-0.02292768959435626,1.0361777744692515,184
University of Tulsa,-0.026455026455026454,-0.03350970017636684,-0.012345679012345678,-0.02292768959435626,1.0361777744692515,183
